pipeline_name,start_time,end_time,duration,random_seed,used_feature_columns,data_loading_duration,data_balancing_duration,balancing_type,model_name,training_dataset_origin,testing_dataset_origin,nb_training_samples_before_balancing,nb_positive_training_samples_before_balancing,nb_training_samples_after_balancing,nb_positive_training_samples_after_balancing,precision,recall,accuracy,f1_score,support,true_positives,true_negatives,false_positives,false_negatives,auc,system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory
ml_logistic_reg,2023_06_14_15_09_39_697995,2023_06_14_15_09_58_568943,18.870948000,42,f_dtn_byte_size f_position_in_dtn f_dtn_ptrs f_dtn_vns f_ptrs_ancestor_1 f_dtns_ancestor_2 f_ptrs_ancestor_2 f_dtns_ancestor_3 f_ptrs_ancestor_3 f_dtns_ancestor_4 f_ptrs_ancestor_4 f_dtns_ancestor_5 f_ptrs_ancestor_5 f_dtns_ancestor_6 f_ptrs_ancestor_6 f_dtns_ancestor_7 f_ptrs_ancestor_7,1.169342000,,,LogisticRegression,performance_test,,,,,,0.0,0.0,0.9987039347171838,0.0,1627,0,1253711,0,1627,0.5,Linux,kenzael,6.0.7-301.fc37.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Nov 4 18:35:48 UTC 2022,x86_64,x86_64,14,20,67156930560,61502787584
ml_logistic_reg,2023_06_14_15_23_39_576458,2023_06_14_15_23_59_416712,19.840254000,42,f_dtn_byte_size f_position_in_dtn f_dtn_ptrs f_dtn_vns f_ptrs_ancestor_1 f_dtns_ancestor_2 f_ptrs_ancestor_2 f_dtns_ancestor_3 f_ptrs_ancestor_3 f_dtns_ancestor_4 f_ptrs_ancestor_4 f_dtns_ancestor_5 f_ptrs_ancestor_5 f_dtns_ancestor_6 f_ptrs_ancestor_6 f_dtns_ancestor_7 f_ptrs_ancestor_7,0.968129000,,,LogisticRegression,performance_test,,,,,,0.0,0.0,0.9987310190562223,0.0,1593,0,1253745,0,1593,0.5,Linux,kenzael,6.0.7-301.fc37.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Nov 4 18:35:48 UTC 2022,x86_64,x86_64,14,20,67156930560,61495984128
ml_random_forest,2023_06_14_15_24_31_824540,2023_06_14_15_25_03_696240,31.871700000,42,f_dtn_byte_size f_position_in_dtn f_dtn_ptrs f_dtn_vns f_ptrs_ancestor_1 f_dtns_ancestor_2 f_ptrs_ancestor_2 f_dtns_ancestor_3 f_ptrs_ancestor_3 f_dtns_ancestor_4 f_ptrs_ancestor_4 f_dtns_ancestor_5 f_ptrs_ancestor_5 f_dtns_ancestor_6 f_ptrs_ancestor_6 f_dtns_ancestor_7 f_ptrs_ancestor_7,0.975438000,,,RandomForest,performance_test,,,,,,0.9866041527126591,0.8938106796116505,0.9998446633496317,0.9379178605539638,1648,1473,1253670,20,175,0.946897363352316,Linux,kenzael,6.0.7-301.fc37.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Nov 4 18:35:48 UTC 2022,x86_64,x86_64,14,20,67156930560,61559074816
ml_sgd,2023_06_14_15_26_14_828340,2023_06_14_15_33_54_939129,460.110789000,42,f_dtn_byte_size f_position_in_dtn f_dtn_ptrs f_dtn_vns f_ptrs_ancestor_1 f_dtns_ancestor_2 f_ptrs_ancestor_2 f_dtns_ancestor_3 f_ptrs_ancestor_3 f_dtns_ancestor_4 f_ptrs_ancestor_4 f_dtns_ancestor_5 f_ptrs_ancestor_5 f_dtns_ancestor_6 f_ptrs_ancestor_6 f_dtns_ancestor_7 f_ptrs_ancestor_7,0.931748000,,,sgd,performance_test,,,,,,0.0,0.0,0.9987453578239486,0.0,1567,0,1253763,8,1567,0.49999680962472415,Linux,kenzael,6.0.7-301.fc37.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Nov 4 18:35:48 UTC 2022,x86_64,x86_64,14,20,67156930560,61532082176
ml_sgd,2023_06_15_11_29_53_433951,2023_06_15_14_25_29_309905,10535.875954000,42,f_dtn_byte_size f_position_in_dtn f_dtn_ptrs f_dtn_vns f_ptrs_ancestor_1 f_dtns_ancestor_2 f_ptrs_ancestor_2 f_dtns_ancestor_3 f_ptrs_ancestor_3 f_dtns_ancestor_4 f_ptrs_ancestor_4 f_dtns_ancestor_5 f_ptrs_ancestor_5 f_dtns_ancestor_6 f_ptrs_ancestor_6 f_dtns_ancestor_7 f_ptrs_ancestor_7,1.336018000,,,sgd,performance_test,,,,,,0.0,0.0,0.9987031381189767,0.0,1621,0,1253710,7,1621,0.499997208301395,Linux,kenzael,6.0.7-301.fc37.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Nov 4 18:35:48 UTC 2022,x86_64,x86_64,14,20,67156934656,61601914880
ml_logistic_reg,2023_06_15_17_30_35_959656,2023_06_15_17_31_05_591440,29.631784000,42,f_dtn_byte_size f_position_in_dtn f_dtn_ptrs f_dtn_vns f_ptrs_ancestor_1 f_dtns_ancestor_2 f_ptrs_ancestor_2 f_dtns_ancestor_3 f_ptrs_ancestor_3 f_dtns_ancestor_4 f_ptrs_ancestor_4 f_dtns_ancestor_5 f_ptrs_ancestor_5 f_dtns_ancestor_6 f_ptrs_ancestor_6 f_dtns_ancestor_7 f_ptrs_ancestor_7,38.627132000,,,LogisticRegression,performance_test,,,,,,0.0,0.0,0.998715087092082,0.0,1613,0,1253725,0,1613,0.5,Linux,kenzael,6.0.7-301.fc37.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Nov 4 18:35:48 UTC 2022,x86_64,x86_64,14,20,67156934656,57943662592
ml_logistic_reg,2023_06_26_13_03_53_290539,2023_06_26_13_03_56_965649,3.675110000,42,f_dtn_byte_size f_position_in_dtn f_dtn_ptrs f_dtn_vns f_ptrs_ancestor_1 f_dtns_ancestor_2 f_ptrs_ancestor_2 f_dtns_ancestor_3 f_ptrs_ancestor_3 f_dtns_ancestor_4 f_ptrs_ancestor_4 f_dtns_ancestor_5 f_ptrs_ancestor_5 f_dtns_ancestor_6 f_ptrs_ancestor_6 f_dtns_ancestor_7 f_ptrs_ancestor_7,23.356564000,0.421667000,undersampling,LogisticRegression,performance_test,,5021351,6269,12538,6269,0.001924969237661319,0.6104218362282878,0.5930809072934938,0.003837835835012062,1612,984,743533,510193,628,0.6017402235604695,Linux,kenzael,6.0.7-301.fc37.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Nov 4 18:35:48 UTC 2022,x86_64,x86_64,14,20,67156934656,59898568704
ml_logistic_reg,2023_06_26_14_10_20_111309,2023_06_26_14_10_23_295594,3.184285000,42,f_dtn_byte_size f_position_in_dtn f_dtn_ptrs f_dtn_vns f_ptrs_ancestor_1 f_dtns_ancestor_2 f_ptrs_ancestor_2 f_dtns_ancestor_3 f_ptrs_ancestor_3 f_dtns_ancestor_4 f_ptrs_ancestor_4 f_dtns_ancestor_5 f_ptrs_ancestor_5 f_dtns_ancestor_6 f_ptrs_ancestor_6 f_dtns_ancestor_7 f_ptrs_ancestor_7,22.736495000,0.401446000,undersampling,LogisticRegression,performance_test,,5021351,6275,12550,6275,0.008949365132953004,0.9738480697384807,0.8619981232146243,0.01773574421518765,1606,1564,1080535,173197,42,0.9178514579548758,Linux,kenzael,6.0.7-301.fc37.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Nov 4 18:35:48 UTC 2022,x86_64,x86_64,14,20,67156934656,59691089920
ml_logistic_reg,2023_06_26_14_33_59_763567,2023_06_26_14_34_02_943434,3.179867000,42,f_dtn_byte_size f_position_in_dtn f_dtn_ptrs f_dtn_vns f_ptrs_ancestor_1 f_dtns_ancestor_2 f_ptrs_ancestor_2 f_dtns_ancestor_3 f_ptrs_ancestor_3 f_dtns_ancestor_4 f_ptrs_ancestor_4 f_dtns_ancestor_5 f_ptrs_ancestor_5 f_dtns_ancestor_6 f_ptrs_ancestor_6 f_dtns_ancestor_7 f_ptrs_ancestor_7,23.311880000,0.400244000,undersampling,LogisticRegression,performance_test,,5021351,6290,12580,6290,0.008555595164792429,0.9956002514142049,0.8537724501289693,0.016965399795429836,1591,1584,1070189,183558,7,0.9245963613112556,Linux,kenzael,6.0.7-301.fc37.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Nov 4 18:35:48 UTC 2022,x86_64,x86_64,14,20,67156934656,59634618368
ml_logistic_reg,2023_06_26_14_36_26_995914,2023_06_26_14_36_30_130469,3.134555000,42,f_dtn_byte_size f_position_in_dtn f_dtn_ptrs f_dtn_vns f_ptrs_ancestor_1 f_dtns_ancestor_2 f_ptrs_ancestor_2 f_dtns_ancestor_3 f_ptrs_ancestor_3 f_dtns_ancestor_4 f_ptrs_ancestor_4 f_dtns_ancestor_5 f_ptrs_ancestor_5 f_dtns_ancestor_6 f_ptrs_ancestor_6 f_dtns_ancestor_7 f_ptrs_ancestor_7,24.198342000,0.392100000,undersampling,LogisticRegression,performance_test,,5021351,6263,12526,6263,0.008605769230769231,0.9956736711990112,0.8521545591705182,0.0170640510968234,1618,1611,1068131,185589,7,0.923821505222707,Linux,kenzael,6.0.7-301.fc37.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Nov 4 18:35:48 UTC 2022,x86_64,x86_64,14,20,67156934656,59703476224
ml_logistic_reg,2023_06_26_14_41_31_784192,2023_06_26_14_41_35_142971,3.358779000,42,f_dtn_byte_size f_position_in_dtn f_dtn_ptrs f_dtn_vns f_ptrs_ancestor_1 f_dtns_ancestor_2 f_ptrs_ancestor_2 f_dtns_ancestor_3 f_ptrs_ancestor_3 f_dtns_ancestor_4 f_ptrs_ancestor_4 f_dtns_ancestor_5 f_ptrs_ancestor_5 f_dtns_ancestor_6 f_ptrs_ancestor_6 f_dtns_ancestor_7 f_ptrs_ancestor_7,23.502926000,0.426595000,undersampling,LogisticRegression,performance_test,,5021351,6286,12572,6286,0.008245018634574944,0.993103448275862,0.8482137878404064,0.016354259696145287,1595,1584,1063211,190532,11,0.9205664544295459,Linux,kenzael,6.0.7-301.fc37.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Nov 4 18:35:48 UTC 2022,x86_64,x86_64,14,20,67156934656,59518619648
